file,precision,recall,type_acc,value_precision,value_recall
0.json,1.0,0.6666666666666666,0.5,0.75,0.75
1.json,1.0,0.7142857142857143,0.8,1.0,1.0
10.json,0.4,1.0,0.0,1.0,1.0
105.json,1.0,0.75,0.6666666666666666,1.0,1.0
11.json,0.8,0.6666666666666666,0.75,0.75,0.75
113.json,1.0,0.8571428571428571,0.16666666666666666,1.0,0.9444444444444443
117.json,1.0,0.8,0.25,1.0,1.0
12.json,0.6666666666666666,0.4,1.0,1.0,1.0
122.json,1.0,0.8,0.0,1.0,1.0
124.json,0.75,0.6,0.3333333333333333,0.5,0.5
134.json,1.0,0.6666666666666666,0.75,1.0,1.0
14.json,1.0,0.75,1.0,1.0,0.8333333333333334
145.json,0.5,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
146.json,1.0,1.0,1.0,1.0,1.0
158.json,0.6,0.42857142857142855,0.6666666666666666,1.0,1.0
160.json,0.8,0.6666666666666666,0.75,1.0,1.0
163.json,1.0,0.42857142857142855,1.0,1.0,1.0
168.json,0.25,0.5,0.5,1.0,1.0
172.json,0.75,0.6,1.0,1.0,1.0
18.json,0.7142857142857143,0.7142857142857143,0.4,0.9,0.7333333333333333
180.json,0.5,0.3333333333333333,0.0,1.0,1.0
188.json,0.8,0.8,0.75,1.0,1.0
190.json,1.0,1.0,0.6666666666666666,1.0,1.0
192.json,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0
2.json,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0
200.json,0.0,0.0,0.0,0.0,0.0
207.json,0.5,0.75,1.0,0.6666666666666666,0.6666666666666666
214.json,0.6666666666666666,0.5,0.5,1.0,1.0
218.json,1.0,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333
223.json,0.8,0.8,0.5,1.0,1.0
228.json,1.0,1.0,1.0,1.0,0.8888888888888888
230.json,0.5,0.75,1.0,1.0,1.0
234.json,0.8,0.6666666666666666,0.75,1.0,1.0
241.json,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
244.json,1.0,1.0,1.0,1.0,1.0
255.json,0.7142857142857143,0.8333333333333334,0.6,1.0,1.0
257.json,0.5555555555555556,0.625,1.0,0.6,0.6
26.json,1.0,0.625,0.8,1.0,1.0
268.json,0.5,0.75,1.0,0.8333333333333334,0.7777777777777777
275.json,1.0,1.0,0.4,0.9,0.9
280.json,0.42857142857142855,0.6,0.3333333333333333,1.0,1.0
282.json,0.6,1.0,1.0,1.0,1.0
288.json,1.0,0.5,0.5,0.5,0.5
290.json,1.0,1.0,0.75,1.0,1.0
295.json,0.75,1.0,1.0,1.0,1.0
301.json,1.0,0.8,1.0,1.0,1.0
302.json,1.0,0.8,0.25,1.0,1.0
318.json,0.6666666666666666,0.5,1.0,0.75,0.75
33.json,0.3333333333333333,0.2,1.0,1.0,1.0
330.json,1.0,0.5,1.0,0.5,0.5
340.json,0.5,1.0,0.5,1.0,1.0
356.json,1.0,1.0,1.0,1.0,0.9333333333333332
358.json,1.0,1.0,1.0,0.8333333333333334,0.875
373.json,0.8,1.0,0.75,1.0,1.0
380.json,1.0,1.0,1.0,1.0,1.0
388.json,1.0,0.7142857142857143,0.8,0.9,0.9
392.json,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0
394.json,0.125,0.5,1.0,0.5,0.3333333333333333
396.json,0.7142857142857143,1.0,0.4,0.8,0.8
4.json,0.8333333333333334,0.5555555555555556,0.6,0.9,0.9
402.json,1.0,1.0,1.0,0.75,0.75
41.json,0.6,0.5,0.3333333333333333,1.0,1.0
421.json,0.5714285714285714,1.0,1.0,1.0,1.0
422.json,0.6666666666666666,1.0,1.0,0.75,0.75
424.json,0.6,0.6,1.0,0.8333333333333334,0.8333333333333334
425.json,0.3,0.6,1.0,1.0,1.0
427.json,1.0,1.0,1.0,1.0,1.0
433.json,0.5,0.4,1.0,1.0,1.0
437.json,1.0,1.0,1.0,1.0,0.8888888888888888
438.json,1.0,0.8333333333333334,0.8,0.8,0.8
442.json,1.0,0.75,0.6666666666666666,1.0,1.0
447.json,1.0,0.8571428571428571,1.0,1.0,0.9444444444444443
451.json,0.75,0.75,0.6666666666666666,1.0,1.0
455.json,1.0,1.0,0.8571428571428571,1.0,1.0
466.json,1.0,0.75,0.6666666666666666,1.0,1.0
471.json,1.0,0.8571428571428571,0.5,1.0,0.9444444444444445
475.json,1.0,1.0,0.25,1.0,1.0
478.json,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
48.json,1.0,0.8,0.75,1.0,1.0
490.json,0.5,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666
495.json,1.0,1.0,1.0,0.6333333333333333,0.7
5.json,0.5,0.25,0.0,1.0,1.0
507.json,0.4,0.5,0.5,0.0,0.0
515.json,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0
524.json,1.0,0.8,1.0,1.0,1.0
530.json,0.6666666666666666,1.0,0.5,1.0,0.8333333333333333
535.json,1.0,0.8333333333333334,0.4,1.0,1.0
54.json,1.0,0.6,0.6666666666666666,1.0,1.0
71.json,1.0,1.0,1.0,1.0,1.0
76.json,0.25,0.6666666666666666,1.0,0.75,0.75
77.json,0.75,0.42857142857142855,1.0,0.6666666666666666,0.5555555555555555
78.json,1.0,0.6,0.6666666666666666,0.8333333333333334,0.8333333333333334
8.json,0.4444444444444444,0.5714285714285714,1.0,0.75,0.5833333333333333
80.json,0.5,0.5,1.0,1.0,1.0
81.json,0.6666666666666666,0.5714285714285714,1.0,0.5,0.4375
82.json,0.75,0.5,0.3333333333333333,1.0,1.0
84.json,1.0,0.75,1.0,1.0,1.0
85.json,1.0,0.8333333333333334,1.0,1.0,1.0
87.json,1.0,1.0,1.0,1.0,1.0
90.json,1.0,1.0,0.4,0.9,0.9
93.json,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
97.json,1.0,0.6666666666666666,1.0,1.0,1.0
99.json,1.0,1.0,1.0,0.75,0.75
