idx,edit_distance
0,0.0
1,7.0
2,2.0
3,12.0
4,2.0
5,7.0
6,0.0
7,8.0
8,6.0
9,5.0
10,6.0
11,10.0
12,2.0
13,9.0
14,3.0
15,4.0
16,0.0
17,2.0
18,8.0
19,13.0
20,0.0
21,1.0
22,1.0
23,2.0
24,2.0
25,0.0
26,5.0
27,5.0
28,0.0
29,2.0
30,1.0
31,8.0
32,2.0
33,0.0
34,4.0
35,3.0
36,0.0
37,0.0
38,8.0
39,7.0
40,7.0
41,0.0
42,6.0
43,0.0
44,2.0
45,1.0
46,9.0
47,2.0
48,2.0
49,0.0
50,0.0
51,3.0
52,2.0
53,1.0
54,8.0
55,2.0
56,2.0
57,9.0
58,6.0
59,4.0
60,4.0
61,5.0
62,5.0
63,0.0
64,0.0
65,0.0
66,2.0
67,7.0
68,0.0
69,1.0
70,3.0
71,0.0
72,0.0
73,5.0
74,0.0
75,6.0
76,0.0
77,0.0
78,4.0
79,0.0
80,0.0
81,4.0
82,4.0
83,4.0
84,2.0
85,3.0
86,0.0
87,3.0
88,0.0
89,8.0
90,5.0
91,5.0
92,4.0
93,8.0
94,0.0
95,2.0
96,0.0
97,5.0
98,0.0
99,0.0
100,4.0
101,0.0
102,7.0
