idx,edit_distance
0,0
1,11
2,0
3,12
4,0
5,4
6,0
7,7
8,6
9,3
10,1
11,13
12,3
13,7
14,5
15,5
16,0
17,0
18,5
19,5
20,0
21,1
22,1
23,0
24,2
25,2
26,0
27,6
28,2
29,4
30,5
31,2
32,2
33,0
34,2
35,1
36,2
37,0
38,6
39,0
40,1
41,2
42,3
43,0
44,2
45,6
46,7
47,2
48,2
49,2
50,0
51,4
52,2
53,3
54,4
55,2
56,2
57,2
58,4
59,4
60,3
61,2
62,4
63,0
64,0
65,2
66,2
67,6
68,1
69,0
70,0
71,0
72,0
73,4
74,2
75,6
76,1
77,7
78,0
79,2
80,0
81,2
82,7
83,2
84,2
85,1
86,0
87,3
88,0
89,2
90,4
91,3
92,2
93,6
94,0
95,0
96,-1
97,0
98,4
99,2
100,3
101,0
102,5
,2.637254902
