idx,edit_distance
0,0
1,11
2,0
3,9
4,0
5,4
6,0
7,7
8,9
9,3
10,5
11,13
12,3
13,6
14,5
15,5
16,0
17,0
18,5
19,5
20,0
21,1
22,1
23,0
24,5
25,0
26,0
27,5
28,2
29,4
30,1
31,4
32,2
33,0
34,6
35,1
36,0
37,0
38,6
39,0
40,1
41,2
42,3
43,0
44,2
45,6
46,8
47,2
48,2
49,0
50,0
51,4
52,3
53,3
54,4
55,2
56,3
57,2
58,6
59,4
60,5
61,2
62,4
63,0
64,0
65,0
66,0
67,6
68,2
69,0
70,0
71,0
72,0
73,4
74,2
75,6
76,1
77,7
78,1
79,2
80,0
81,2
82,3
83,2
84,3
85,1
86,0
87,3
88,0
89,2
90,4
91,5
92,0
93,6
94,0
95,0
96,-1
97,0
98,4
99,2
100,3
101,0
102,6
,2.676470588
