index,name_recall,name_precision,type_accuracy,value_recall,value_precision,name_info,type_info,value_info
8,0.4,0.6666666666666666,1.0,0.5,0.5,"[('建筑主体结构', '建筑主体结构'), ('非结构构件', '非结构构件')]","{'建筑主体结构': 1, '非结构构件': 1}","{'非结构构件': {'content': [('非结构构件:过重破坏导致人员伤亡', '非结构构件:过重破坏导致人员伤亡')], 'recall': 0.5, 'precision': 0.5}}"
0,0.6666666666666666,1.0,0.5,0.5,0.5,"[('构件的长细比', '长细比'), ('矩形截面边长', '矩形截面边长')]","{'构件的长细比': 0, '矩形截面边长': 1}","{'矩形截面边长': {'content': [1], 'recall': 0.5, 'precision': 0.5}}"
6,1.0,0.4,0.0,0.5,0.5,"[('基础埋深', '基础埋深'), ('桩顶荷载', '桩顶荷载')]","{'基础埋深': 0, '桩顶荷载': 0}","{'桩顶荷载': {'content': [('桩顶荷载:增加', '桩顶荷载:增加')], 'recall': 0.5, 'precision': 0.5}}"
12,0.4,0.6666666666666666,1.0,1.0,1.0,"[('露明金属支撑件的构造措施', '金属支撑件的构造措施'), ('火灾蔓延', '防火安全措施')]","{'露明金属支撑件的构造措施': 1, '火灾蔓延': 1}","{'火灾蔓延': {'content': [('火灾蔓延:蔓延', '火灾蔓延:有效防止火灾蔓延'), ('火灾蔓延:不蔓延', '火灾蔓延:无法有效防止火灾蔓延')], 'recall': 1.0, 'precision': 1.0}}"
4,0.5,1.0,0.0,1.0,1.0,"[('齿连接', '连接方式'), ('螺栓连接', '连接方式')]","{'齿连接': 0, '螺栓连接': 0}","{'螺栓连接': {'content': [('螺栓连接:采用', '螺栓连接:螺栓连接'), ('螺栓连接:不采用', '螺栓连接:齿连接')], 'recall': 1.0, 'precision': 1.0}}"
9,0.75,1.0,1.0,0.5,1.0,"[('框架结构的砌体填充墙布置', '砌体填充墙的布置'), ('建筑的不利布置', '建筑的不利布置'), ('填充墙', '砌体填充墙的材料')]","{'框架结构的砌体填充墙布置': 1, '建筑的不利布置': 1, '填充墙': 1}","{'填充墙': {'content': [('填充墙:空心砖填充墙', '填充墙:空心砖'), ('填充墙:轻钢龙骨石膏板墙', '填充墙:轻钢龙骨石膏板')], 'recall': 0.5, 'precision': 1.0}}"
2,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,"[('初始局部破坏', '局部破坏'), ('结构', '结构倒塌')]","{'初始局部破坏': 1, '结构': 0}","{'结构': {'content': [('结构:完好', '结构:未倒塌'), ('结构:部分倒塌', '结构:部分倒塌'), ('结构:整体倒塌', '结构:整体倒塌')], 'recall': 1.0, 'precision': 1.0}}"
5,0.5714285714285714,0.4444444444444444,1.0,1.0,1.0,"[('新建建筑物的荷载', '新建建筑物的荷载'), ('既有建筑物紧邻新建部分的地基中的应力叠加', '既有建筑物紧邻新建部分的地基中的应力叠加'), ('既有建筑物地基土的不均匀附加压缩', '既有建筑物地基土的不均匀附加压缩'), ('建筑物的相对变形或挠曲', '建筑物的相对变形或挠曲')]","{'新建建筑物的荷载': 1, '既有建筑物紧邻新建部分的地基中的应力叠加': 1, '既有建筑物地基土的不均匀附加压缩': 1, '建筑物的相对变形或挠曲': 1}","{'建筑物的相对变形或挠曲': {'content': [('建筑物的相对变形或挠曲:存在', '建筑物的相对变形或挠曲:大'), ('建筑物的相对变形或挠曲:不存在', '建筑物的相对变形或挠曲:小')], 'recall': 1.0, 'precision': 1.0}}"
14,0.8,1.0,0.75,0.5,0.5,"[('零应力区面积', '基础底部的零应力区面积'), ('外荷载相对于基础形心的偏心距', '外荷载相对于基础形心的偏心距'), ('受压边缘的压力', '受压边缘的压力'), ('井架斜撑与基础的连接', '井架斜撑与基础的连接方式')]","{'零应力区面积': 1, '外荷载相对于基础形心的偏心距': 1, '受压边缘的压力': 1, '井架斜撑与基础的连接': 0}","{'井架斜撑与基础的连接': {'content': [('井架斜撑与基础的连接:铰接连接', '井架斜撑与基础的连接:铰接连接')], 'recall': 0.5, 'precision': 0.5}}"
11,0.5,0.8,0.75,1.0,1.0,"[('柱列纵向侧移刚度', '厂房的柱列纵向侧移刚度'), ('厂房纵向破坏', '厂房的纵向破坏'), ('柱顶节点抗震性能', '柱顶节点的抗震性能'), ('门窗洞口处柱子的破坏', '门窗洞口处柱子的破坏')]","{'柱列纵向侧移刚度': 1, '厂房纵向破坏': 1, '柱顶节点抗震性能': 0, '门窗洞口处柱子的破坏': 1}","{'门窗洞口处柱子的破坏': {'content': [('门窗洞口处柱子的破坏:发生', '门窗洞口处柱子的破坏:破坏'), ('门窗洞口处柱子的破坏:未发生', '门窗洞口处柱子的破坏:未破坏')], 'recall': 1.0, 'precision': 1.0}}"
20,1.0,1.0,0.0,0.0,0.0,"['检查基准', '检查结果']",{},{}
7,0.6666666666666666,0.8,0.75,1.0,1.0,"[('灌浆料', '灌浆料性能'), ('膨胀剂', '膨胀剂'), ('细石混凝土掺加比例', '细石混凝土掺量'), ('粗骨料掺加', '粗骨料掺量')]","{'灌浆料': 0, '膨胀剂': 1, '细石混凝土掺加比例': 1, '粗骨料掺加': 1}","{'粗骨料掺加': {'content': ['粗骨料掺加:掺加16mm-20mm', '粗骨料掺加:其他'], 'recall': 1.0, 'precision': 1.0}}"
10,0.7142857142857143,0.7142857142857143,0.5,1.0,1.0,"[('雨水泵房状况', '雨水泵房功能'), ('城市排涝泵站状况', '城市排涝泵站功能'), ('雨水泵房加强措施', '泵站加强'), ('震害', '地震破坏'), ('震害', '震害加剧')]","{'雨水泵房状况': 0, '城市排涝泵站状况': 0, '雨水泵房加强措施': 1, '震害': 1}","{'震害': {'content': [('震害:小', '震害:未加剧'), ('震害:大', '震害:加剧')], 'recall': 1.0, 'precision': 1.0}}"
1,0.7142857142857143,1.0,1.0,1.0,1.0,"[('土体膨胀', '土体膨胀'), ('土体收缩', '土体收缩'), ('桩侧阻', '桩侧阻和端阻'), ('端阻', '桩侧阻和端阻'), ('土体裂缝', '土体裂缝')]","{'土体膨胀': 1, '土体收缩': 1, '桩侧阻': 1, '端阻': 1, '土体裂缝': 1}","{'土体裂缝': {'content': [('土体裂缝:产生', '土体裂缝:产生'), ('土体裂缝:不产生', '土体裂缝:不产生')], 'recall': 1.0, 'precision': 1.0}}"
